State,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alabama,19003,19593,20468,21287,22340,22786,23616,24396,25180,26139,27042,28095,29041,30102,31163,32236,33414,34598,36204,37492,38734,39422
Alaska,28033,29704,29946,30830,31825,32336,32657,32685,32461,33156,33847,34033,35142,36170,37134,37804,39062,40216,41750,43972,45805,47103
Arizona,20383,20809,21443,22207,23153,23501,24276,25324,26387,27659,29322,30525,32610,33411,34036,35056,36646,38154,40019,41551,42518,42832
Arkansas,17023,17418,18204,19008,20108,20337,20898,21590,22294,23277,24425,25371,26317,27260,28074,28893,30245,31266,32389,34118,34919,35692
California,24126,24917,26180,27513,28902,29470,29878,30717,31776,33525,35348,37577,41186,41327,41419,42592,44641,46211,48345,50538,51487,51566
Colorado,21472,21940,22908,23981,25040,25682,26155,27122,28520,30066,32248,34191,37168,37952,38005,38942,40276,41601,43506,45396,46614,46861
Connecticut,26234,27500,28995,30689,32603,33169,33811,35127,36592,38941,40895,42682,45486,46993,46852,48328,51007,52954,54814,58029,58395,57771
Delaware,21977,23268,24423,25647,26596,27144,27952,29123,30711,32188,33969,35157,36533,38427,39684,40954,42487,44622,46285,47308,47569,47770
District_of_Columbia,30253,32106,33717,35570,37951,39199,40919,42453,44458,46761,48462,50885,52964,55908,57914,60417,63887,66696,70151,73450,76518,77483
Florida,19523,20072,21030,21992,23145,23571,23918,24709,25641,26673,28184,28935,30560,31553,32426,33544,35186,36800,38485,39746,40568,40970
Georgia,20504,21072,22115,23165,24373,24865,25313,26308,27492,29037,30856,32332,34214,35136,35734,36626,37866,39096,40370,42178,42585,42902
Hawaii,20444,21624,23167,24104,25538,26325,26746,26977,27363,28357,29036,29794,30628,31253,32671,33742,35198,36353,37799,39466,40675,41328
Idaho,17648,18146,18991,19688,20649,21188,21938,22839,23353,24062,24868,26044,27701,27768,28163,28677,29871,30777,32580,33544,33897,34124
Illinois,23608,24212,25312,26317,27911,28425,29107,30101,31296,33024,34715,36296,38044,39083,39688,40540,42277,43744,45650,47685,48719,48358
Indiana,20437,20931,21699,22522,23571,24109,24908,25571,26477,27635,29108,30027,31017,31779,32603,33379,34694,35431,36553,37528,38403,38270
Iowa,17928,18420,19224,19810,20937,21441,22189,22875,23679,24803,26026,26953,27929,28837,29668,30708,32097,33070,34320,35738,36964,37158
Kansas,19030,19475,20238,21002,21982,22430,22907,23709,24609,25694,26845,28031,29360,30153,30825,31489,32738,33864,35696,37044,38178,38154
Kentucky,18545,19001,19947,20730,21858,22170,22747,23502,24463,25577,26697,27783,28801,30021,30904,31855,33165,33965,35201,36480,37434,37996
Louisiana,19330,19750,20646,21503,22342,22633,23178,23895,24541,25755,26910,27216,27889,29131,30115,30782,31880,33566,36604,38229,40381,40579
Maine,18347,19202,20154,20870,21808,22026,22389,23125,23850,24899,25875,26887,27664,28815,29736,30750,31906,32701,33794,35129,36317,36617
Maryland,22515,23469,24730,25962,27145,27686,28416,29143,30295,31763,33301,34489,36395,38253,39382,40686,42579,44368,46162,48241,49535,50579
Massachusetts,24143,25233,26699,28041,29664,30229,31024,32352,33937,35716,37774,40352,44329,44975,44954,46323,48916,50095,52435,55244,56746,56267
Michigan,24194,24767,25376,26125,27463,28260,29541,30545,31522,32780,34521,35750,37011,37391,38135,39433,40373,41214,42157,43357,44245,43645
Minnesota,21481,22155,23121,23962,25324,25710,26422,27363,28866,30231,32075,33487,35413,36587,37458,38610,40398,40800,42185,44375,45826,45319
Mississippi,16522,17047,17718,18411,19237,19693,20382,21120,21822,22778,23822,24391,25205,25923,26665,27591,28535,29763,31194,32291,33508,33847
Missouri,20295,20900,21716,22574,23550,23898,24628,25669,26601,27780,28907,29967,31385,32421,33118,33788,34845,35951,37143,38603,40361,40022
Montana,16957,17224,17895,18648,19378,19932,20218,20516,21146,21946,22648,23260,24274,25195,26001,26907,27830,29150,30596,32224,33305,33762
Nebraska,17190,17690,18577,19372,20355,20815,21500,22389,23294,24565,25539,26632,27692,28377,29448,30382,31507,32422,33814,35238,36243,36644
Nevada,20548,21333,22358,23083,24743,25461,25700,26647,27788,28672,30203,31213,32276,33121,33993,35329,37106,38763,40070,42149,42984,42743
New_Hampshire,20749,21553,22609,23600,24866,24962,25555,26637,27691,29296,30944,32141,34738,35481,36176,37321,39176,40551,42447,43863,44912,44932
New_Jersey,25748,26780,28449,29991,32073,32722,33439,34533,35928,37514,39516,41038,43676,44320,45182,46351,48064,49471,51645,53853,55280,55168
New_Mexico,18259,18667,19347,20272,21051,21731,22351,23040,23716,24684,25711,26267,27497,28702,29431,30202,31411,32605,34567,36379,37910,38529
New_York,26347,27303,28873,30011,32399,32919,33439,34938,36816,38543,40684,42179,45357,46727,46328,47247,49941,51937,55479,59439,60288,57739
North_Carolina,18636,19321,20220,21095,22249,22773,23460,24403,25410,26684,28176,29462,31068,32024,32689,33532,34791,35912,37439,38909,39740,39844
North_Dakota,16509,16932,17626,18132,18945,19382,19893,20492,21242,22049,22990,23751,24683,25707,26550,27628,28987,29956,31316,33086,35075,35970
Ohio,21501,21986,22844,23602,24845,25338,26134,26868,27776,29094,30392,31395,32507,33283,34214,35153,36441,37333,38568,39917,40784,40900
Oklahoma,19098,19533,20288,20968,21698,22001,22293,22671,23329,24226,25122,25813,26988,28016,28654,29699,30743,31721,34022,35491,37284,37238
Oregon,19637,20303,21332,22338,23514,24093,24780,25833,27028,28411,29544,30872,32774,33204,33684,34450,35630,36588,38077,39569,40500,40757
Pennsylvania,21485,22313,23457,24393,25785,26274,26950,27904,28973,30163,31584,32696,34015,34978,35808,36995,38555,39661,41349,43239,44381,44829
Rhode_Island,20206,21128,22387,23082,24315,24889,25454,26375,27194,28662,30156,31169,32615,33603,34810,36415,37651,38751,40454,41646,43029,43439
South_Carolina,18009,18797,19668,20439,21398,21933,22477,23292,24049,24995,26161,27132,28179,29255,30003,30750,31839,32927,34281,35393,36252,36759
South_Dakota,15424,15810,16430,17143,18016,18613,19255,19931,20724,21648,22751,23767,24802,25601,26360,27210,28281,29149,30291,31655,32822,33352
Tennessee,19209,19712,20611,21541,22807,23368,24106,25046,25963,27248,28462,29478,30554,31520,32531,33581,34925,35879,37564,39082,39996,40242
Texas,21130,21740,22700,23760,25088,25523,25959,26899,28129,29699,31515,32898,34941,36045,36248,36968,38511,40150,42458,44695,45939,45692
Utah,18910,19362,20074,20874,21976,22250,22811,23626,24572,25736,26873,27895,29229,30077,30585,31106,32171,33328,35130,37054,37980,38614
Vermont,18640,19497,20532,21355,22360,22704,22964,23583,24480,25496,26611,27597,28914,30238,31041,32086,33274,34197,35542,36956,38328,38778
Virginia,21053,21882,22750,23805,24940,25504,26035,26899,28003,29548,31373,33025,35172,36733,37222,38585,40534,42287,44051,45995,47241,48239
Washington,20806,21617,22646,23942,25553,25760,26362,27453,28881,30769,33076,35736,37090,37459,38242,39021,39361,40721,42897,45021,46569,47470
West_Virginia,19341,19788,20715,21356,22168,22373,22959,23488,24075,24716,25276,26018,26887,27981,28612,29284,30382,31347,32728,34106,35987,36897
Wisconsin,19743,20204,21101,21838,23008,23610,24324,25099,26021,27337,28531,29607,30694,31540,32464,33425,34743,35471,36821,38050,39119,39131
Wyoming,19097,19230,20049,20591,21215,21745,22054,22351,22870,23866,24725,25647,26837,28043,28975,29924,31210,33251,36662,39254,41487,40709
